File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
1,Cy5,1,156.209,37.108,24.41,3.202,2.943,5.933,3.837,1
1,Cy5,1,125.009,44.623,24.805,3.119,3.049,8.44,4.092,2
1,Cy5,2,861.346,115.793,22.81,5.477,2.863,7.07,6.969,1
1,Cy5,2,862.241,119.107,23.059,5.236,3.501,11.828,6.249,1
1,Cy5,2,800.873,173.46,24.044,4.229,3.016,47.371,4.537,2
1,Cy5,2,796.603,167.04,25.561,2.729,2.385,10.58,3.595,2
1,Cy5,3,554.481,274.791,21.923,5.388,2.639,51.308,5.741,1
1,Cy5,3,485.378,165.436,22.719,2.824,2.462,35.998,3.311,2
1,Cy5,3,476.337,173.703,22.224,2.307,3.057,23.053,2.803,2
1,Cy5,3,548.087,276.319,21.805,2.167,2.673,3.611,3.315,1
1,Cy5,4,291.101,288.983,21.186,7.483,2.846,97.923,7.798,2
1,Cy5,4,399.605,324.029,23.591,4.494,3.387,73.608,4.9,1
1,Cy5,5,886.411,332.437,23.593,5.177,2.752,52.888,4.749,4
1,Cy5,5,749.224,352.694,25.452,4.295,2.824,53.803,4.117,2
1,Cy5,5,871.737,387.749,25,3.532,2.512,20.405,3.77,1
1,Cy5,5,857,408,26,3.355,3.085,4.365,3.302,3
1,Cy5,5,768.984,358.732,25.868,3.11,2.491,33.76,3.766,2
1,Cy5,5,850.529,389.359,23.695,3.108,2.596,32.398,3.318,0
1,Cy5,5,861,411,27,2.262,3.323,35.63,2.967,0
1,Cy5,6,149.831,383.017,23.013,3.616,2.761,15.701,4.233,1
1,Cy5,6,233.819,395.059,23.714,3.191,3.296,23.687,3.799,2
1,Cy5,7,361.735,468.592,24.593,6.103,2.85,5.967,6.323,1
1,Cy5,7,365.465,467.18,24.73,3.945,2.932,8.268,4.634,1
1,Cy5,7,444.402,469.657,25.36,3.709,2.607,19.102,3.636,2
1,Cy5,7,426.355,480.155,23.52,1.882,2.464,19.503,2.236,2
1,Cy5,8,709.673,561.816,23.45,1.745,2.926,7.999,2.431,0
1,Cy5,8,669.896,558.914,22.755,1.472,2.743,17.864,2.194,0
1,Cy5,8,666.464,551.486,25.708,1.27,2.826,13.791,2.009,0
