File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
1,Cy5,1,400.189,100.752,26.829,1.252,3.597,4.08,2.046,2
1,Cy5,1,401,107,26,1.249,3.796,5.911,1.958,2
1,Cy5,1,408.871,15.549,25.208,1.168,2.945,9.671,1.945,1
1,Cy5,1,403.687,91.301,25.693,1.019,2.231,19.962,1.763,2
1,Cy5,1,423.57,12.741,23.707,0.873,3.78,13.726,1.508,1
1,Cy5,2,460.83,119.397,23.941,3.45,2.868,9.813,4.546,1
1,Cy5,2,457.61,84.759,25.665,3.305,3.169,46.813,3.759,2
1,Cy5,2,463.37,116.296,24.438,1.492,3.653,31.134,2.671,1
1,Cy5,3,301.808,120.726,25.474,1.815,2.884,32.147,2.32,1
1,Cy5,3,309.281,212.814,26.983,1.463,3.216,23.148,2.012,2
1,Cy5,3,316.102,186.498,26.002,0.992,2.967,9.099,1.661,2
1,Cy5,4,289.09,195.707,22.947,1.861,2.77,38.582,2.793,2
1,Cy5,4,293.199,183.795,25.448,1.714,2.533,15.963,2.384,2
1,Cy5,4,278.705,177.3,22.784,0.696,4.01,13.325,1.681,1
1,Cy5,4,276.496,183.902,23.718,0.953,2.4,6.232,1.802,1
1,Cy5,5,357.298,365.222,23.839,3.259,3.318,63.079,3.134,2
1,Cy5,5,366.482,360.409,22.699,2.831,2.85,33.21,3.074,2
1,Cy5,5,377,366,26,1.277,2.456,18.864,1.825,1
1,Cy5,6,503.323,431.198,27.656,2.495,2.191,46.793,2.719,0
1,Cy5,7,249.369,491.267,21.329,2.754,2.583,41.762,2.404,1
1,Cy5,7,241.692,487.397,23.035,2.467,2.912,18.618,2.424,1
1,Cy5,7,200.072,585.258,25.307,2.321,2.688,11.339,2.27,2
1,Cy5,7,242.831,468.129,23.629,2.025,2.696,11.834,2.134,1
1,Cy5,7,239.867,491.99,24.398,1.772,2.805,9.656,2.167,1
1,Cy5,7,247,465,25,1.096,3.887,15.679,1.646,1
1,Cy5,8,546.519,476.206,24.631,2.398,2.041,19.386,2.727,1
1,Cy5,8,574.812,486.159,23.244,1.737,3.615,3.268,2.326,2
1,Cy5,8,545.986,491.243,23.581,1.607,3.639,4.119,2.313,1
1,Cy5,8,577.179,490.237,23.286,1.557,3.757,15.394,2.154,2
1,Cy5,9,181.136,530.018,27.914,2.929,2.535,34.245,3.543,2
1,Cy5,9,137.144,543.52,24.199,1.41,2.65,6.892,1.78,1
1,Cy5,9,135.798,527.663,24.996,1.131,2.794,11.758,1.434,1
1,Cy5,10,777.046,654.028,24.093,1.283,2.973,16.437,1.89,1
1,Cy5,10,644.737,606.483,25.439,0.993,2.065,10.449,1.818,2
1,Cy5,11,999.442,685.685,24.198,2.938,2.933,25.821,3.435,1
1,Cy5,11,966.83,651.175,27.081,2.508,2.739,28.905,3.575,2
1,Cy5,11,962.261,639.83,22.716,1.887,2.818,10.151,2.697,2
1,Cy5,11,968.518,643.55,21.068,1.582,2.325,23.02,2.376,2
1,Cy5,11,950.325,648.512,32.072,1.484,2.95,15.454,2.521,2
1,Cy5,12,259.51,865.17,28.65,1.361,2.524,21.448,1.987,1
1,Cy5,12,283.738,794.899,28.128,1.206,2.718,16.589,1.935,2
1,Cy5,12,312,792,32,0.546,4.424,6.142,1.61,2
1,Cy5,12,250.193,873.387,26.419,0.956,3.477,10.451,1.622,1
1,Cy5,13,468.336,873.061,27.312,1.072,2.707,11.803,1.954,1
