File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,Label,dilation,lamin_dist,lamin_dist_norm,centr_dist,centr_dist_norm,xnorm,ynorm,znorm
1,Cy5,2,318.646,556.378,38.77,2.95,2.403,51.53,0,5,4280.796,0.961,176.033,0.039,-0.125,-0.126,0.156
1,Cy5,2,344.599,559.044,35.365,2.398,2.744,7.875,0,5,2227.55,0.5,2226.92,0.5,-0.132,0.38,0.061
1,Cy5,2,350.092,555.939,33.859,1.918,2.514,15.275,0,5,1581.258,0.356,2858.742,0.644,-0.082,0.481,0.019
1,Cy5,2,342.84,563.487,39.134,1.153,2.759,9.574,0,5,2265.885,0.51,2178.869,0.49,-0.197,0.353,0.166
1,Cy5,2,341,547,38,1.132,2.231,10.127,0,5,3049.787,0.685,1400.143,0.315,0.034,0.291,0.134
1,Cy5,2,331,521,39,1.002,2.853,6.207,0,5,4280.479,0.959,183.848,0.041,0.389,0.055,0.162
1,Cy5,4,447.919,814.622,27.903,4.203,2.615,62.147,2,5,1442.867,0.33,2931.692,0.67,-0.087,-0.721,-0.158
1,Cy5,4,433.072,813.544,33.659,3.297,2.621,33.965,2,5,2831.715,0.657,1477.496,0.343,-0.103,-0.376,0.011
1,Cy5,4,437.455,877.061,31.699,2.346,2.889,66.135,1,5,1101.967,0.246,3382.984,0.754,0.712,-0.46,-0.046
1,Cy5,4,429.028,871.743,33.507,1.982,2.979,26.376,1,5,2252.675,0.515,2120.938,0.485,0.642,-0.266,0.007
1,Cy5,4,400.865,877.515,36.281,1.003,2.62,20.586,1,5,1708.856,0.378,2808.202,0.622,0.712,0.391,0.088
1,Cy5,5,448.18,527.694,32.71,4.136,2.694,30.926,1,5,1706.101,0.422,2339.624,0.578,0.008,0.394,-0.103
1,Cy5,5,457.408,501.098,34.891,2.252,2.697,16.765,1,5,1332.209,0.327,2746.629,0.673,-0.37,0.468,-0.045
1,Cy5,5,483,489,31,1.323,2.395,17.214,2,5,2503.537,0.613,1578.132,0.387,-0.67,0.107,-0.148
1,Cy5,6,603.537,862.488,32.813,3.417,2.879,29.825,2,5,2116.905,0.453,2553.674,0.547,0.413,-0.454,-0.045
1,Cy5,6,547.142,778.784,36.224,2.936,2.444,36.062,1,5,734.654,0.153,4061.369,0.847,-0.841,0.347,0.056
1,Cy5,6,601.618,855.161,32.104,2.356,2.995,13.147,2,5,1741.041,0.407,2532.182,0.593,0.313,-0.452,-0.065
1,Cy5,6,555.13,792.101,33.82,0.82,3.057,12.466,1,5,2449.974,0.527,2201.01,0.473,-0.645,0.241,-0.015
1,Cy5,6,550.925,785.646,32.538,0.762,2.86,8.188,1,5,1724.711,0.35,3197.318,0.65,-0.741,0.3,-0.053
1,a488,2,347.327,564.661,32.398,4.427,2.488,32.639,0,5,1619.11,0.361,2869.105,0.639,-0.209,0.442,-0.021
1,a488,2,337.115,546.074,35.462,4.367,2.588,40.535,0,5,3559.698,0.8,889.192,0.2,0.042,0.214,0.064
1,a488,2,353.226,542.975,34.447,3.067,2.502,18.969,0,5,1732.652,0.385,2771.401,0.615,0.105,0.521,0.036
1,a488,2,329.399,601.114,29.985,2.827,2.497,22.22,0,5,1935.143,0.301,4496.951,0.699,-0.745,0.154,-0.088
1,a488,2,337,561,36,1.407,2.072,15.623,0,5,3049.787,0.685,1400.143,0.315,-0.169,0.236,0.079
