File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label,dilation,lamin_dist,lamin_dist_norm,centr_dist,centr_dist_norm,xnorm,ynorm,znorm
1,Cy5,2,107.73,645.636,34.276,4.73,2.863,46.733,4.185,1,5,3027.538,0.581,2186.004,0.419,-0.583,0.277,-0.034
1,Cy5,2,174.982,647.703,36.177,4.261,2.761,61.831,4.031,2,5,4391.557,0.847,790.91,0.153,0.161,-0.169,0.02
1,Cy5,2,99,641,34.487,3.804,3.056,35.679,3.714,1,5,2120.218,0.41,3051.046,0.59,-0.7,0.263,-0.028
1,Cy5,2,95,644,32,1.466,3.419,1.331,2.072,1,5,1578.132,0.303,3631.556,0.697,-0.73,0.341,-0.099
1,Cy5,2,96,643,32,1.402,3.787,2.428,2.288,1,5,1721.54,0.331,3474.594,0.669,-0.723,0.317,-0.099
1,Cy5,2,171.542,626.767,27.214,1.398,3.114,14.364,1.897,2,5,2038.566,0.394,3133.097,0.606,0.024,-0.487,-0.236
1,Cy5,4,101.683,205.064,40.062,4.571,3.061,68.759,4.891,1,5,3257.722,0.584,2322.101,0.416,-0.469,-0.326,0.073
1,Cy5,4,62.585,228.989,38.803,3.054,2.825,42.448,3.354,2,5,1271.284,0.229,4284.785,0.771,-0.678,0.404,0.037
1,Cy5,4,95.606,243.91,34.296,2.597,2.696,26.9,3.05,2,5,4772.305,0.855,812.513,0.145,-0.21,0.253,-0.092
1,Cy5,4,92.678,183.473,36.054,2.521,3.005,9.885,3.074,1,5,737.727,0.128,5044.097,0.872,-0.743,-0.517,-0.042
1,Cy5,4,95.765,180.796,33.431,2.298,2.661,28.481,3.125,1,5,365.844,0.063,5407.41,0.937,-0.733,-0.585,-0.117
1,Cy5,4,104.675,249.242,37.1,1.954,2.706,18.785,2.724,2,5,5287.478,0.94,336.24,0.06,-0.071,0.228,-0.012
1,Cy5,5,155.963,463.55,37.1,4.305,2.879,55.729,4.184,1,5,879.796,0.171,4274.238,0.829,-0.046,-0.445,0.03
1,Cy5,5,155.752,482.48,37.351,3.129,2.773,33.567,3.45,1,5,1512.024,0.3,3524.313,0.7,-0.024,-0.184,0.037
