File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
1,Cy5,2,142.934,882.006,20.757,5.041,2.954,33.595,3.143,1
1,Cy5,2,179.831,873.487,14.163,3.537,2.739,26.383,2.612,1
1,Cy5,2,179.831,873.487,14.163,3.537,2.567,46.344,2.802,1
1,Cy5,2,233.199,866.982,13.543,2.202,2.586,17.259,2.027,2
1,Cy5,2,159.996,912.441,11.437,2.085,2.654,17.944,1.828,1
1,Cy5,3,245.15,139.36,12.01,4.639,2.903,23.755,3.08,1
1,Cy5,3,214.989,194.066,24.23,4.191,2.6,35.723,3.176,2
1,Cy5,3,227.595,184.321,11.593,3.639,2.799,15.158,2.721,2
1,Cy5,3,201.381,192.667,21.263,2.417,2.754,26.709,2.092,2
1,Cy5,4,295.245,717.531,10.952,4.959,2.768,26.967,2.628,2
1,Cy5,4,290.208,719.495,14.966,4.83,2.505,24.409,2.76,2
1,Cy5,4,293.093,736.417,14.241,4.773,2.65,8.472,2.584,2
1,Cy5,4,256.34,672.88,15.061,2.748,2.639,10.956,2.138,1
1,Cy5,4,293.817,675.188,12.065,2.514,2.739,22.735,2.07,1
1,Cy5,4,259.032,692.169,10.529,2.081,2.277,15.56,2.004,1
1,Cy5,5,376.363,620.868,10.883,9.647,2.996,149.677,3.911,1
1,Cy5,5,356.84,620.348,15.007,7.49,2.942,24.358,3.599,1
1,Cy5,5,309.45,667.425,20.014,3.176,2.333,19.6,1.849,2
1,Cy5,5,355.647,631.271,17.126,2.517,3.268,9.785,2.109,1
1,Cy5,6,363.584,450.021,11.572,4.838,2.879,17.589,3.485,1
1,Cy5,6,372.821,436.207,17.738,4.756,2.845,27.064,3.64,1
1,Cy5,6,340.155,441.724,17.579,2.737,2.652,13.22,2.051,1
1,Cy5,6,325.142,383.483,17.616,2.67,2.814,17.291,2.117,2
1,Cy5,6,363.18,431.352,19.713,2.501,2.643,13.863,2.405,1
1,Cy5,6,360.06,448.532,13.374,2.347,3.251,3.767,2.095,1
1,Cy5,6,388.65,442.294,11.276,2.176,2.874,10.349,2.111,1
