File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,Label,dilation,lamin_dist,lamin_dist_norm,centr_dist,centr_dist_norm,compartment,xnorm,ynorm,znorm
1,Cy5,5,114.328,864.465,39,3.498,3.004,10.142,1,5,4598.521,0.935,317.465,0.065,1,-0.14,0.593,-0.038
1,Cy5,5,179.651,787.914,35,2.498,2.897,6.487,2,5,844.684,0.16,4447.96,0.84,1,-0.141,-0.161,-0.138
1,Cy5,5,190.069,794.113,43.089,1.498,2.33,23.972,2,5,1887.56,0.282,4813.469,0.718,0,-0.082,-0.177,0.064
1,Cy5,5,172.197,803.349,43.224,1.325,2.917,13.649,2,5,2348.278,0.361,4154.025,0.639,0,-0.119,-0.037,0.067
1,Cy5,8,549.994,150.843,42.453,2.95,2.696,6.639,1,5,3286.189,0.679,1555.451,0.321,2,0.584,0.566,0.067
1,Cy5,8,552.837,154.037,41.485,2.738,2.608,23.744,1,5,3092.383,0.635,1774.514,0.365,2,0.565,0.549,0.042
1,Cy5,8,557.479,163.777,44.04,2.644,2.456,29.696,1,5,2680.718,0.554,2162.398,0.446,2,0.524,0.486,0.106
1,Cy5,10,870.759,517.095,34.383,4.241,2.642,90.132,1,5,5386.656,1,0,0,1,-0.097,0.067,-0.157
1,Cy5,10,867.491,513.229,42.713,4.058,2.761,84.898,1,5,5477.36,1,0,0,0,-0.094,-0.016,0.051
1,Cy5,10,848.668,499.191,41.938,1.765,2.339,9.096,2,5,2645.57,0.497,2679.517,0.503,0,-0.151,-0.398,0.032
1,Cy5,10,871,511,46,1.397,3.616,11.3,1,5,5522.119,1,0,0,0,-0.041,-0.004,0.134
1,Cy5,10,850.453,502.861,40.183,1.095,2.507,10.632,2,5,3098.223,0.587,2178.206,0.413,1,-0.166,-0.333,-0.012
1,Cy5,12,555.538,286.752,51.34,2.536,2.888,27.903,1,5,4000.471,0.654,2113.491,0.346,0,0.292,-0.52,0.289
1,Cy5,12,528.526,252.839,53.61,2.387,2.686,28.408,2,5,3410.83,0.643,1894.991,0.357,0,0.485,-0.336,0.346
1,Cy5,12,543,282,51,1.271,2.563,14.765,1,5,3549.028,0.687,1617.807,0.313,0,0.36,-0.524,0.28
1,a488,5,186.785,791.924,39.509,2.606,2.793,25.173,2,5,1573.875,0.26,4469.276,0.74,1,-0.101,-0.173,-0.026
