Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Assay Name,Experimental Condition [Probe Design],Comment [Analysis Output],Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels,Processed Data File
1_miFISH chr2 Replicate 1,Dataset1.companion.ome [001],Homo sapiens,NCBITaxon,NCBITaxon_9606,hTERT RPE-1,BTO,BTO_0004790,miFISH_chr2_rep1,miFISH_chr2,16 loci in chromosome 2,a488_001.tif,miFISH_chr2_rep1/,AF488 labelled 5 loci per allele; AT542 labelled 5 loci per allele; AF594 labelled 5 loci per allele; AT647N labelled 5 loci per allele; AF700 labelled 5 loci per allele; AF790 labelled 1 loci per allele,raw,AF488; AT542; AF594; AT647N; AF700; AF790; DAPI,DOTTER software in Gelali et al 2019
1_miFISH chr2 Replicate 1,Dataset1.companion.ome [002],Homo sapiens,NCBITaxon,NCBITaxon_9606,hTERT RPE-1,BTO,BTO_0004790,miFISH_chr2_rep1,miFISH_chr2,16 loci in chromosome 2,a488_001.tif,miFISH_chr2_rep1/,AF488 labelled 5 loci per allele; AT542 labelled 5 loci per allele; AF594 labelled 5 loci per allele; AT647N labelled 5 loci per allele; AF700 labelled 5 loci per allele; AF790 labelled 1 loci per allele,raw,AF488; AT542; AF594; AT647N; AF700; AF790; DAPI,DOTTER software in Gelali et al 2019
1_miFISH chr2 Replicate 1,Dataset1.companion.ome [003],Homo sapiens,NCBITaxon,NCBITaxon_9606,hTERT RPE-1,BTO,BTO_0004790,miFISH_chr2_rep1,miFISH_chr2,16 loci in chromosome 2,a488_001.tif,miFISH_chr2_rep1/,AF488 labelled 5 loci per allele; AT542 labelled 5 loci per allele; AF594 labelled 5 loci per allele; AT647N labelled 5 loci per allele; AF700 labelled 5 loci per allele; AF790 labelled 1 loci per allele,raw,AF488; AT542; AF594; AT647N; AF700; AF790; DAPI,DOTTER software in Gelali et al 2019
1_miFISH chr2 Replicate 1,Dataset1.companion.ome [004],Homo sapiens,NCBITaxon,NCBITaxon_9606,hTERT RPE-1,BTO,BTO_0004790,miFISH_chr2_rep1,miFISH_chr2,16 loci in chromosome 2,a488_001.tif,miFISH_chr2_rep1/,AF488 labelled 5 loci per allele; AT542 labelled 5 loci per allele; AF594 labelled 5 loci per allele; AT647N labelled 5 loci per allele; AF700 labelled 5 loci per allele; AF790 labelled 1 loci per allele,raw,AF488; AT542; AF594; AT647N; AF700; AF790; DAPI,DOTTER software in Gelali et al 2019
1_miFISH chr2 Replicate 1,Dataset1.companion.ome [005],Homo sapiens,NCBITaxon,NCBITaxon_9606,hTERT RPE-1,BTO,BTO_0004790,miFISH_chr2_rep1,miFISH_chr2,16 loci in chromosome 2,a488_001.tif,miFISH_chr2_rep1/,AF488 labelled 5 loci per allele; AT542 labelled 5 loci per allele; AF594 labelled 5 loci per allele; AT647N labelled 5 loci per allele; AF700 labelled 5 loci per allele; AF790 labelled 1 loci per allele,raw,AF488; AT542; AF594; AT647N; AF700; AF790; DAPI,DOTTER software in Gelali et al 2019
1_miFISH chr2 Replicate 1,Dataset1.companion.ome [006],Homo sapiens,NCBITaxon,NCBITaxon_9606,hTERT RPE-1,BTO,BTO_0004790,miFISH_chr2_rep1,miFISH_chr2,16 loci in chromosome 2,a488_001.tif,miFISH_chr2_rep1/,AF488 labelled 5 loci per allele; AT542 labelled 5 loci per allele; AF594 labelled 5 loci per allele; AT647N labelled 5 loci per allele; AF700 labelled 5 loci per allele; AF790 labelled 1 loci per allele,raw,AF488; AT542; AF594; AT647N; AF700; AF790; DAPI,DOTTER software in Gelali et al 2019
1_miFISH chr2 Replicate 1,Dataset1.companion.ome [007],Homo sapiens,NCBITaxon,NCBITaxon_9606,hTERT RPE-1,BTO,BTO_0004790,miFISH_chr2_rep1,miFISH_chr2,16 loci in chromosome 2,a488_001.tif,miFISH_chr2_rep1/,AF488 labelled 5 loci per allele; AT542 labelled 5 loci per allele; AF594 labelled 5 loci per allele; AT647N labelled 5 loci per allele; AF700 labelled 5 loci per allele; AF790 labelled 1 loci per allele,raw,AF488; AT542; AF594; AT647N; AF700; AF790; DAPI,DOTTER software in Gelali et al 2019
1_miFISH chr2 Replicate 1,Dataset1.companion.ome [008],Homo sapiens,NCBITaxon,NCBITaxon_9606,hTERT RPE-1,BTO,BTO_0004790,miFISH_chr2_rep1,miFISH_chr2,16 loci in chromosome 2,a488_001.tif,miFISH_chr2_rep1/,AF488 labelled 5 loci per allele; AT542 labelled 5 loci per allele; AF594 labelled 5 loci per allele; AT647N labelled 5 loci per allele; AF700 labelled 5 loci per allele; AF790 labelled 1 loci per allele,raw,AF488; AT542; AF594; AT647N; AF700; AF790; DAPI,DOTTER software in Gelali et al 2019
1_miFISH chr2 Replicate 1,Dataset1.companion.ome [009],Homo sapiens,NCBITaxon,NCBITaxon_9606,hTERT RPE-1,BTO,BTO_0004790,miFISH_chr2_rep1,miFISH_chr2,16 loci in chromosome 2,a488_001.tif,miFISH_chr2_rep1/,AF488 labelled 5 loci per allele; AT542 labelled 5 loci per allele; AF594 labelled 5 loci per allele; AT647N labelled 5 loci per allele; AF700 labelled 5 loci per allele; AF790 labelled 1 loci per allele,raw,AF488; AT542; AF594; AT647N; AF700; AF790; DAPI,DOTTER software in Gelali et al 2019
1_miFISH chr2 Replicate 1,Dataset1.companion.ome [010],Homo sapiens,NCBITaxon,NCBITaxon_9606,hTERT RPE-1,BTO,BTO_0004790,miFISH_chr2_rep1,miFISH_chr2,16 loci in chromosome 2,a488_001.tif,miFISH_chr2_rep1/,AF488 labelled 5 loci per allele; AT542 labelled 5 loci per allele; AF594 labelled 5 loci per allele; AT647N labelled 5 loci per allele; AF700 labelled 5 loci per allele; AF790 labelled 1 loci per allele,raw,AF488; AT542; AF594; AT647N; AF700; AF790; DAPI,DOTTER software in Gelali et al 2019
